city_code,cluster_k4
1011,2
1013,0
1053,2
1054,2
1120,2
1156,0
1173,2
1177,2
1183,1
1209,0
1224,2
1239,2
1265,2
1297,0
1299,2
1307,0
1317,2
1370,0
1371,2
1402,0
1460,2
1494,0
1496,2
1524,2
1553,0
1572,2
1629,0
1638,2
1668,0
1675,0
1751,0
1782,2
1859,0
1895,2
1916,2
1931,0
1960,2
1986,2
1996,2
2028,2
2099,3
2101,2
2108,0
2126,0
2136,0
2154,2
2168,2
2195,2
2302,0
2335,0
2337,2
2363,2
2406,0
2423,0
2424,0
2451,0
2483,2
2575,0
2587,2
2642,2
2668,0
2670,2
2692,2
2728,0
2730,0
2751,2
2778,2
2852,2
2854,2
2894,0
2908,0
2949,2
2951,0
2969,2
2992,0
3042,2
3109,0
3124,2
3127,0
3140,2
3217,2
3312,2
3333,2
3351,0
3364,2
3365,2
3382,2
3396,0
3456,0
3478,2
3523,3
3578,0
3617,0
3723,2
3752,0
3771,2
3832,2
3837,2
3870,2
3892,2
3914,2
3927,2
3933,2
3935,0
4078,0
4125,2
4138,2
4161,2
4174,0
4192,2
4198,2
4235,2
4247,2
4252,2
4324,3
4353,2
4380,2
4396,0
4397,2
4404,0
4419,2
4516,2
4541,0
4609,2
4611,2
4655,3
4684,0
4729,0
4756,2
4791,2
4797,0
4820,2
4879,0
4933,2
4946,2
4973,2
4981,2
4994,0
4995,3
4998,0
5163,0
5171,0
5241,0
5244,2
5262,2
5265,2
5270,0
5297,2
5303,0
5309,0
5383,0
5410,0
5413,3
5414,2
5434,2
5506,2
5529,0
5640,2
5657,2
5683,2
5686,0
5720,2
5752,0
5762,0
5799,0
5802,2
5818,2
5842,2
5850,0
5927,2
5933,2
5936,2
5947,2
5951,0
5986,2
6037,2
6081,2
6093,2
6095,2
6126,0
6179,0
6197,0
6235,0
6248,2
6249,2
6261,2
6268,2
6287,2
6379,0
6397,0
6418,2
6430,2
6473,0
6507,2
6520,2
6553,2
6563,2
6593,0
6603,0
6613,2
6662,2
6692,0
6720,2
6728,0
6733,2
6738,0
6752,2
6753,2
6782,2
6862,2
6886,2
6888,0
6912,0
6930,2
6986,2
7008,2
7029,0
7039,2
7040,0
7049,2
7058,2
7127,3
7154,0
7201,2
7221,2
7222,2
7228,2
7252,2
7256,0
7274,2
7278,2
7280,2
7285,2
7339,1
7366,2
7399,2
7401,0
7412,2
7416,2
7432,0
7458,0
7515,0
7562,2
7599,0
7613,2
7619,3
7634,0
7651,2
7766,2
7810,3
7888,0
7896,2
7963,0
7992,2
8008,0
8043,2
8122,2
8139,2
8143,0
8216,2
8234,0
8270,2
8271,2
8304,2
8375,2
8377,0
8428,2
8445,2
8503,0
8504,0
8545,2
8592,0
8593,0
8619,2
8628,2
8656,0
8682,0
8695,2
8699,0
8715,2
8728,0
8738,2
8789,2
8837,2
8838,2
8840,2
8856,2
8913,2
8930,0
8957,0
8978,1
8979,2
8999,2
9059,2
9062,0
9063,2
9076,0
9077,2
9091,2
9150,2
9220,2
9221,0
9308,0
9356,1
9508,2
9547,3
9581,2
9600,2
9647,0
9681,2
9704,2
9749,0
9767,0
9770,3
9806,2
9814,3
9879,2
9880,2
9899,2
9936,0
9951,2
