city_code,cluster_v2
1011,7
1013,0
1053,7
1054,4
1120,4
1156,0
1173,2
1177,4
1183,7
1209,2
1224,3
1239,0
1265,3
1297,2
1299,7
1307,2
1317,3
1370,1
1371,3
1402,2
1460,5
1494,0
1496,7
1524,1
1553,0
1572,1
1629,0
1638,7
1668,2
1675,0
1751,0
1782,0
1859,0
1895,4
1916,0
1931,0
1960,3
1986,0
1996,1
2028,3
2099,6
2101,7
2108,0
2126,0
2136,0
2154,0
2168,1
2195,7
2302,0
2335,0
2337,1
2363,4
2406,0
2423,0
2424,0
2451,0
2483,6
2575,0
2587,7
2642,6
2668,0
2670,4
2692,7
2728,5
2730,0
2751,3
2778,7
2852,5
2854,3
2894,0
2908,0
2949,7
2951,0
2969,3
2992,0
3042,4
3109,0
3124,7
3127,0
3140,7
3217,4
3312,3
3333,7
3351,2
3364,2
3365,7
3382,2
3396,2
3456,1
3478,0
3523,7
3578,0
3617,0
3723,5
3752,0
3771,0
3832,1
3837,2
3870,0
3892,7
3914,4
3927,0
3933,4
3935,0
4078,0
4125,0
4138,0
4161,3
4174,0
4192,3
4198,4
4235,7
4247,4
4252,7
4324,7
4353,1
4380,0
4396,2
4397,4
4404,0
4419,7
4516,1
4541,0
4609,7
4611,0
4655,7
4684,0
4729,0
4756,7
4791,7
4797,0
4820,0
4879,0
4933,1
4946,0
4973,3
4981,7
4994,0
4995,6
4998,0
5163,0
5171,0
5241,0
5244,3
5262,4
5265,0
5270,2
5297,7
5303,2
5309,0
5383,0
5410,0
5413,7
5414,7
5434,3
5506,4
5529,2
5640,7
5657,3
5683,1
5686,0
5720,4
5752,0
5762,0
5799,0
5802,3
5818,4
5842,3
5850,0
5927,7
5933,0
5936,5
5947,7
5951,0
5986,7
6037,3
6081,1
6093,7
6095,7
6126,0
6179,0
6197,0
6235,2
6248,7
6249,3
6261,4
6268,7
6287,3
6379,0
6397,2
6418,4
6430,2
6473,0
6507,1
6520,6
6553,2
6563,0
6593,0
6603,0
6613,0
6662,3
6692,0
6720,4
6728,0
6733,3
6738,0
6752,7
6753,3
6782,4
6862,4
6886,7
6888,0
6912,2
6930,3
6986,4
7008,3
7029,0
7039,8
7040,0
7049,3
7058,3
7127,7
7154,0
7201,7
7221,7
7222,7
7228,4
7252,7
7256,0
7274,7
7278,3
7280,2
7285,4
7339,7
7366,0
7399,6
7401,0
7412,7
7416,4
7432,2
7458,0
7515,0
7562,7
7599,0
7613,0
7619,7
7634,0
7651,7
7766,3
7810,7
7888,0
7896,4
7963,0
7992,0
8008,0
8043,7
8122,0
8139,3
8143,0
8216,3
8234,0
8270,4
8271,7
8304,7
8375,7
8377,0
8428,0
8445,3
8503,2
8504,0
8545,7
8592,0
8593,0
8619,0
8628,2
8656,0
8682,0
8695,4
8699,0
8715,6
8728,0
8738,3
8789,2
8837,3
8838,7
8840,5
8856,7
8913,4
8930,0
8957,1
8978,7
8979,7
8999,7
9059,7
9062,0
9063,3
9076,0
9077,7
9091,7
9150,3
9220,0
9221,0
9308,0
9356,6
9508,0
9547,7
9581,5
9600,3
9647,0
9681,0
9704,1
9749,1
9767,0
9770,7
9806,3
9814,7
9879,7
9880,7
9899,4
9936,0
9951,7
