cutoff,prior_oot_folds,selected_alpha,prior_pooled_wape,Structural_V1_WAPE,selected_alpha_WAPE,improvement
2024-12-20,3,0.0,0.18430540898627584,0.16171605107877593,0.16171605107877593,0.0
2025-01-19,4,0.0,0.17935307818562507,0.14977108789949944,0.14977108789949944,0.0
2025-02-18,5,0.25,0.17215829958182327,0.21479281005673578,0.22869888034710426,-0.013906070290368472
2025-03-20,6,0.0,0.17995233630581686,0.12371934171170172,0.12371934171170172,0.0
2025-04-20,7,0.25,0.15899552827345925,0.16083049048073328,0.15703800399568793,0.003792486485045349
2025-05-21,8,0.25,0.15874170957339157,0.3006047709735751,0.2917698637730931,0.008834907200481967
2025-06-21,9,0.5,0.17992352851620308,0.28584498128038205,0.2941343253935767,-0.008289344113194652
2025-07-22,10,0.5,0.18999716946313644,0.19629166283181823,0.1942372269177009,0.0020544359141173307
2025-08-22,11,0.5,0.19036101116506216,0.2594213377251906,0.23694711953057776,0.022474218194612844
2025-09-22,12,0.5,0.1968195202832034,0.14635097608060924,0.13370989434824732,0.01264108173236192
