cutoff,train_cutoffs,training_rows,training_seconds
2024-09-21,6,57780,2.247724200002267
2024-10-21,7,67410,2.1541753000019526
2024-11-20,8,77040,2.3528317000018433
2024-12-20,9,86670,2.4830328000025474
2025-01-19,10,96300,2.6984053000014683
2025-02-18,11,105930,3.005716499999835
2025-03-20,12,115560,3.5944870000021183
2025-04-20,13,125190,3.6149923999983002
2025-05-21,14,134820,3.6378187999980582
2025-06-21,15,144450,4.210085000002437
2025-07-22,16,154080,3.897319300001982
2025-08-22,17,163710,4.20682350000061
2025-09-22,18,173340,4.269402599999012
