rule,MAE,RMSE,mean_signed_error,normalized_bias,R2
Pure CatBoost a0.50,302.86141164179395,1731.903058099805,-59.875917955707976,-0.05437972994833117,0.8932758329941489
Current ensemble,301.04183646621544,1737.8243623396627,-64.01710195846735,-0.05814078239520954,0.8925448145245309
Cat specialist a0.25,301.57711838628205,1743.6242272665331,-77.22957946706863,-0.07014044742577537,0.8918263695994625
Cat specialist a0.50,298.1073211588495,1722.0683500267785,-60.94284683156337,-0.05534872225983129,0.8944844698320715
Cat specialist a0.75,297.3332620438917,1706.3093509741327,-44.63880010033166,-0.040541272310334,0.89640682180052
Cat specialist a1.00,299.5759965079283,1696.5070697735118,-28.311719000965397,-0.025712902385637098,0.897593632061724
LGB specialist a0.25,300.66076262564667,1734.1736167974254,-72.64311670304507,-0.06597498967512885,0.8929958146294765
LGB specialist a0.50,297.85398104833604,1711.2981508827233,-51.79055860642615,-0.04703654970223617,0.8958001778299663
LGB specialist a0.75,299.87352703645655,1702.7014235499475,-30.930072495180838,-0.028090909450681708,0.8968444464564592
LGB specialist a1.00,306.0691729930388,1708.5988144334444,-10.047602009169943,-0.009125302835292635,0.8961286402259111
