cutoff,train_cutoffs,specialist_training_rows,specialist_test_rows,catboost_training_seconds,lightgbm_training_seconds
2024-09-21,6,30816,5136,28.609404499999073,2.3293833999996423
2024-10-21,7,35952,5136,30.419085500005167,2.700316800001019
2024-11-20,8,41088,5136,32.271538700006204,1.97884360000171
2024-12-20,9,46224,5136,30.869888200002606,3.1508276000022306
2025-01-19,10,51360,5136,35.098007199994754,3.1018347999997786
2025-02-18,11,56496,5136,34.952898299998196,3.2982114999977057
2025-03-20,12,61632,5136,36.18699429999833,3.13640000000305
2025-04-20,13,66768,5136,37.44071049999911,3.566842299995187
2025-05-21,14,71904,5136,39.046985799999675,3.792781500000274
2025-06-21,15,77040,5136,39.3584467000037,3.569751399998495
2025-07-22,16,82176,5136,40.463780099998985,3.9860107000058633
2025-08-22,17,87312,5136,40.22737159999815,4.857774000003701
2025-09-22,18,92448,5136,42.91639209999994,4.1853044999952544
